Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Blue Tanager (Blue-Grey Tanager),4,Passeriformes,Thraupidae,0.0,17.017999999999997,12.0,0.0354368656801043,4,0,0,0,1,1,1,0,0,0,0
Blue Tit,4,Passeriformes,Paridae,0.0,1114.242495994122,10.0,0.201058201058201,4,1,1,1,0,0,0,0,0,0,0
Blue Whale,13,Cetacea,Balaenopteridae,1.0,2750.0,85.0,59.090909090909086,0,0,0,0,0,0,0,0,0,1,0
Blue-Ringed Octopus,7,Octopoda,Octopodidae,0.0,1114.242495994122,2.0,1.9400352733686064,0,0,0,0,0,0,0,0,0,1,0
Bluefin Tuna,0,Scombriformes,Scombridae,1.0,300.0,40.0,0.4545454545454545,0,0,0,0,0,0,0,0,0,1,0
Bluegill,0,Perciformes,Centrarchidae,0.0,29.21,5.0,0.8181818181818181,0,0,0,0,0,1,1,0,0,0,0
Bobcat,13,Carnivora,Felidae,0.0,8250.0,13.5,9.7,0,0,0,0,0,1,1,0,0,0,0
Bobolink,4,Passeriformes,Icteridae,0.0,17.017999999999997,19.474841669993218,1601.274827419837,4,0,0,0,1,1,0,0,0,0,0
Boiga,16,Squamata,Colubridae,0.0,76.2,13.5,1601.274827419837,0,1,0,0,0,0,0,0,1,1,0
Bongo,13,Artiodactyla,Bovidae,0.0,210.0,14.0,185.0,2,0,0,1,0,0,0,0,0,0,0
Bonito Fish,0,Scombriformes,Scombridae,0.0,121.92,7.0,11.339822735890994,0,0,0,0,0,0,0,0,0,1,0
Bonnethead Shark,8,Carcharhiniformes,Sphyrnidae,0.0,2950.0,19.474841669993218,3.492665402654426,4,0,0,0,0,0,0,0,0,1,0
Bonobo,13,Primates,Hominidae,1.0,1114.242495994122,40.0,37.5,4,0,0,1,0,0,0,0,0,0,0
Booby,4,Pelecaniformes,Sulidae,0.0,1114.242495994122,14.5,1.35,0,0,0,0,1,0,1,0,0,1,0
Boomslang,16,Squamata,Colubridae,0.0,1114.242495994122,8.5,1601.274827419837,4,0,0,1,0,0,0,0,0,0,0
Bornean Orang-utan,13,Primates,Hominidae,1.0,1114.242495994122,35.0,60.0,4,1,0,0,0,0,0,0,0,0,0
Borneo Elephant,13,Proboscidea,Elephantidae,1.0,1114.242495994122,62.5,1.5,2,1,0,0,0,0,0,0,0,1,0
Bottlenose Dolphin,13,Cetacea,Delphinidae,0.0,325.0,27.5,250.0,4,0,0,0,0,0,0,0,0,1,0
Bowfin,0,Amiiformes,Amiidae,0.0,8000.0,11.0,9.545454545454543,0,0,0,0,0,1,1,0,0,0,0
Bowhead Whale,13,Artiodactyla,Balaenidae,0.0,1676.4,200.0,0.0875,2,0,0,1,0,0,0,0,0,0,0
Box Turtle,16,Testudines,Emydidae,1.0,13.97,100.0,0.5681818181818181,4,0,0,0,0,1,1,0,0,0,0
Brahminy Blindsnake,16,Squamata,Squamata,0.0,13.843,19.474841669993218,1601.274827419837,0,1,0,1,1,1,1,0,1,1,0
Brazilian Treehopper,11,Hemiptera,Membracidae,0.0,550.0,19.474841669993218,1601.274827419837,2,1,1,1,1,1,1,0,1,1,1
Bredl’s Python,16,Squamata,Pythonidae,0.0,220.98,25.0,1601.274827419837,4,0,0,0,0,0,0,0,1,1,0
Bronze Whaler Shark,8,Selachimorpha,Carcharhinidae,0.0,220.5,27.5,138.63636363636363,0,0,0,0,0,0,0,0,0,1,0
Bronze-winged Jacana,4,Charadriiformes,Jacanidae,0.0,27.94,19.474841669993218,0.2409706866247094,4,1,0,0,0,0,0,0,0,0,0
Brook Trout,0,Salmoniformes,Salmonidae,0.0,44.45,6.0,1.814371637742559,0,0,0,0,0,1,0,0,0,0,0
Brookesia Micra,16,Squamata,Chamaeleonidae,0.0,2.7940000000000005,10.0,0.0001899416000453,0,0,0,1,0,0,0,0,0,0,0
