Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Amazon Tree Boa,Reptilia,Squamata,Pythonidae,0.0,175.26,20.0,,,0,0,0,1,0,0,0,0,0,0
Amazonian Royal Flycatcher,,,,0.0,14.986,6.0,0.011765039405794637,Insectivore,0,0,0,1,0,0,0,0,0,0
Ambrosia Beetle,Insecta,Coleoptera,,,0.508,,3e-06,Omnivore,0,0,0,0,1,0,0,0,0,0
American Alligator,Reptilia,Crocodilia,Alligatoridae,0.0,350.0,45.0,272.0,Carnivore,1,0,0,0,1,0,0,0,1,0
American Alsatian,Mammalia,Carnivora,Canidae,,,,34.92665402654426,Carnivore,0,0,0,0,1,0,0,0,0,0
American Bulldog,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Bully,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Cocker Spaniel,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Cockroach,Insecta,Blattodea,Blattidae,,4100.0,1.0904109589041096,0.105,Omnivore,0,1,1,0,1,0,0,0,0,0
American Coonhound,Mammalia,Carnivora,Canidae,,,12.0,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Dog Tick,Arachnida,Ixodida,Ixodidae,,900.0,3.0,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Eel,Actinopterygii,Anguilliformes,Anguillidae,1.0,121.92,17.5,7.711079460405876,Omnivore,0,0,0,0,1,1,0,0,1,0
American Eskimo Dog,Mammalia,Carnivora,Canidae,,,14.0,,Omnivore,0,1,0,0,1,0,0,0,0,0
American Foxhound,Mammalia,Carnivora,Canidae,,,11.0,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Hairless Terrier,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Leopard Hound,Mammalia,Carnivora,Canidae,,,13.5,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Paddlefish,Actinopterygii,Acipenseriformes,Polyodontidae,1.0,,,,Zooplanktons,0,0,0,0,1,0,0,0,0,0
American Pit Bull Terrier,Mammalia,Carnivora,Canidae,,,11.5,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Pugabull,Mammalia,Carnivora,Canidae,,,13.0,21.545663198192887,Omnivore,0,0,0,0,1,0,0,0,0,0
American Pygmy Goat,Mammalia,Artiodactyla,Bovidae,,64.77,10.0,27.27272727272727,Herbivore,0,0,0,0,1,0,0,0,0,0
American Robin,Aves,Passeriformes,Turdidae,0.0,24.13,2.0,76.0,Omnivore,0,1,0,0,1,1,0,0,0,0
American Staffordshire Terrier,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Toad,Amphibia,Anura,Bufonidae,0.0,7500.0,10.0,0.45454545454545453,Omnivore,0,0,0,0,1,0,0,0,0,0
American Water Spaniel,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
American Wirehair,Mammalia,Carnivora,Felidae,,,16.0,5.216318458509857,Omnivore,1,1,1,1,1,1,1,1,1,1
Amethystine Python (Scrub Python),Reptilia,Squamata,Pythonidae,0.0,,20.0,,Omnivore,1,0,0,0,0,0,0,1,1,0
Amphicoelias Fragillimus,,Sauropoda, Diplodocoidea,1.0,,,,Herbivore,0,0,0,0,1,0,0,0,0,0
Amur Leopard,Mammalia,Carnivora,Felidae,1.0,13500.0,12.5,36.5,Carnivore,1,0,0,0,0,0,0,0,0,1
Anaconda,Reptilia,Squamata,Boidae,0.0,,,,Carnivore,0,0,0,1,0,0,0,0,0,0
Anatolian Shepherd Dog,Mammalia,Carnivora,Canidae,,,12.0,52.16318458509857,Omnivore,0,1,0,0,0,0,0,0,0,0
Anchovies,Actinopterygii,Clupeiformes,Engraulidae,,550.0,4.0,,Omnivore,0,0,0,0,0,0,0,0,1,0
Andrewsarchus,Mammalia,Artiodactyla,,1.0,487.68,,999.71877239615,Omnivore,1,0,0,0,0,0,0,0,0,0
Angelfish,Actinopterygii,Perciformes,Pomacanthidae,0.0,25.4,15.0,0.9071858188712795,Omnivore,0,0,0,0,0,0,0,0,1,0
Angelshark,Chondrichthyes,Squatiniformes,Squatinidae,1.0,106.68,30.0,81.64672369841516,Omnivore,0,1,1,0,0,0,0,0,0,0
Angled Sunbeam Caterpillar,Insecta,Lepidoptera,Lycaenidae,,2.54,0.2916666666666667,,Herbivore,1,0,0,0,0,0,0,0,0,0
Anglerfish,Actinopterygii,Lophiiformes,,0.0,260.0,25.0,49.99999999999999,Omnivore,0,0,0,0,0,0,0,0,1,0
